ID_Pedido,Data_Pedido,Produto,Categoria,UF,Estado,Regiao,Canal_Venda,Status_Pedido,Quantidade,Preco_Unitario,Desconto,Frete,Valor_Total
1,2024-07-12,Livro Clean Code,Livros,RJ,Rio de Janeiro,Sudeste,Site,Entregue,2,81.43,0.11,57.37,144.95
2,2024-07-28,Notebook Dell Inspiron,Eletrônicos,GO,Goiás,Centro-Oeste,App Mobile,Entregue,1,3056.11,0.03,52.14,2964.43
3,2023-01-07,Camiseta Básica,Vestuário,AM,Amazonas,Norte,Marketplace,Devolvido,4,45.16,0.09,66.66,164.38
4,2023-04-15,Multivitamínico,Suplementos,PA,Pará,Norte,Site,Cancelado,3,82.66,0.03,63.44,240.54
5,2024-07-03,Notebook Dell Inspiron,Eletrônicos,BA,Bahia,Nordeste,Site,Entregue,3,3502.26,0.12,61.08,9245.97
6,2024-01-06,Notebook Dell Inspiron,Eletrônicos,ES,Espírito Santo,Sudeste,App Mobile,Entregue,5,3230.61,0.09,71.98,14699.28
7,2023-08-27,Livro Python para Iniciantes,Livros,RS,Rio Grande do Sul,Sul,Marketplace,Entregue,1,81.12,0.12,78.97,71.39
8,2023-08-03,Mouse Gamer Logitech,Eletrônicos,RJ,Rio de Janeiro,Sudeste,App Mobile,Entregue,4,201.68,0.05,35.91,766.38
9,2024-04-18,Livro Clean Code,Livros,PR,Paraná,Sul,Marketplace,Entregue,5,90.69,0.08,27.14,417.17
10,2023-08-23,Sandália Havaianas,Calçados,PR,Paraná,Sul,Marketplace,Devolvido,2,61.17,0.13,64.32,106.44
11,2023-11-19,Mouse Gamer Logitech,Eletrônicos,SP,São Paulo,Sudeste,App Mobile,Cancelado,3,173.22,0.14,49.7,446.91
12,2024-07-05,Camiseta Básica,Vestuário,MT,Mato Grosso,Centro-Oeste,App Mobile,Cancelado,4,44.2,0.02,62.15,173.26
13,2024-06-05,Calça Jeans Masculina,Vestuário,AM,Amazonas,Norte,Marketplace,Cancelado,5,123.39,0.03,79.83,598.44
14,2023-03-07,Panela de Pressão Tramontina,Casa e Cozinha,RJ,Rio de Janeiro,Sudeste,Site,Entregue,2,191.2,0.12,39.55,336.51
